jelly_id,frame_idx,x_center,y_center,width,height,marked,nb_pixels
25,39,2462.04,1138.26,13.98,14.39,0,201.09
29,39,2114.85,835.49,22.8,27.37,0,623.94
1,40,1937.77,1719.73,17.36,16.57,0,287.59
2,40,3062.05,1653.12,15.23,17.86,0,272.13
3,40,3522.23,611.06,19.12,13.92,0,266.13
4,40,2390.28,1808.61,23.31,24.44,0,569.58
5,40,3313.82,1283.75,14.0,15.38,0,215.34
10,40,1418.32,2058.85,20.01,15.67,0,313.68
16,40,2078.4,2011.64,18.06,13.79,0,249.14
25,40,2464.61,1140.17,13.92,14.45,0,201.26
29,40,2115.08,832.95,23.84,28.69,0,683.83
1,41,1940.43,1720.18,17.77,16.79,0,298.42
2,41,3061.54,1654.24,16.16,19.03,0,307.58
3,41,3525.02,610.41,19.13,13.89,0,265.75
4,41,2392.32,1806.05,23.11,24.53,0,566.9
5,41,3316.02,1285.56,14.28,15.53,0,221.76
10,41,1418.35,2058.43,20.49,16.14,0,330.71
16,41,2077.95,2010.98,17.61,13.54,0,238.4
25,41,2466.88,1141.83,13.99,14.55,0,203.62
29,41,2115.05,830.66,23.08,27.72,0,639.63
1,42,1943.05,1720.66,17.69,16.51,0,292.13
2,42,3060.57,1656.97,17.13,20.37,0,348.94
3,42,3526.35,610.09,19.38,14.1,0,273.29
4,42,2394.06,1803.03,23.32,25.24,0,588.66
5,42,3317.25,1287.54,13.93,15.09,0,210.24
10,42,1418.36,2058.33,20.91,16.57,0,346.53
16,42,2077.49,2010.23,17.25,13.33,0,230.04
25,42,2468.84,1143.97,14.45,15.29,0,220.88
1,43,1945.96,1721.47,17.52,16.13,0,282.66
2,43,3059.86,1658.46,16.73,19.93,0,333.5
3,43,3527.62,609.73,19.05,13.63,0,259.64
4,43,2396.31,1800.18,23.11,25.44,0,587.93
5,43,3318.16,1289.53,13.87,15.13,0,209.95
10,43,1418.92,2058.2,20.09,16.04,0,322.18
16,43,2077.44,2009.46,16.71,12.94,0,216.13
25,43,2470.87,1145.04,14.16,15.06,0,213.34
29,43,2115.19,825.54,23.22,27.8,0,645.48
1,44,1948.18,1722.64,17.49,15.97,0,279.43
2,44,3059.04,1659.1,16.28,19.45,0,316.61
3,44,3530.58,609.55,19.52,13.99,0,273.1
4,44,2398.19,1797.71,22.74,25.34,0,576.12
5,44,3319.48,1291.64,13.9,15.34,0,213.23
10,44,1419.53,2057.92,19.91,16.01,0,318.74
16,44,2077.44,2009.38,16.68,12.94,0,215.79
25,44,2473.2,1145.79,13.3,14.2,0,188.92
29,44,2115.47,823.18,22.83,27.05,0,617.74
1,45,1950.26,1723.12,17.43,15.78,0,274.99
2,45,3058.08,1659.41,15.92,19.02,0,302.89
3,45,3532.95,609.28,19.52,14.04,0,274.0
4,45,2400.77,1796.47,23.17,25.96,0,601.43
5,45,3320.98,1292.94,14.66,16.46,0,241.42
10,45,1419.62,2057.67,20.13,16.3,0,328.01
16,45,2077.19,2009.34,16.65,12.93,0,215.37
25,45,2474.91,1147.26,13.43,14.45,0,194.14
29,45,2115.34,820.52,22.94,27.01,0,619.54
1,46,1952.39,1723.32,17.54,15.7,0,275.32
2,46,3056.31,1660.37,15.52,18.56,0,288.14
3,46,3534.85,608.84,19.27,13.88,0,267.48
4,46,2402.51,1794.69,22.5,25.51,0,574.06
5,46,3322.03,1294.05,15.85,18.19,0,288.42
10,46,1419.04,2057.43,20.53,16.84,0,345.74
16,46,2076.3,2008.95,16.65,12.88,0,214.4
25,46,2476.81,1148.65,13.18,14.19,0,186.91
29,46,2114.64,817.96,23.72,27.94,0,662.59
1,47,1954.61,1723.47,17.44,15.37,0,268.15
2,47,3055.1,1662.1,15.56,18.64,0,290.02
3,47,3537.43,607.94,19.11,13.74,0,262.58
4,47,2403.6,1792.5,21.75,24.98,0,543.46
5,47,3323.63,1297.81,15.66,18.31,0,286.71
10,47,1418.76,2056.91,19.99,16.56,0,331.04
16,47,2075.46,2008.26,16.75,12.96,0,217.18
25,47,2478.5,1150.42,13.18,14.23,0,187.66
29,47,2114.1,814.92,23.51,27.68,0,650.78
1,48,1956.49,1723.55,17.53,15.32,0,268.61
2,48,3054.79,1663.98,15.34,18.35,0,281.54
3,48,3539.98,606.74,19.35,13.91,0,269.23
4,48,2404.87,1790.16,20.99,24.35,0,511.08
5,48,3325.01,1299.79,14.77,17.26,0,254.92
10,48,1418.61,2056.36,19.45,16.27,0,316.36
16,48,2074.98,2007.48,16.97,13.15,0,223.13
25,48,2480.01,1152.18,13.28,14.09,0,187.2
29,48,2114.12,812.58,23.8,28.05,0,667.36
1,49,1959.12,1723.96,17.84,15.48,0,276.2
2,49,3054.89,1666.04,15.51,18.61,0,288.57
3,49,3541.89,606.19,19.7,14.25,0,280.69
5,49,3326.54,1301.11,13.57,15.82,0,214.76
10,49,1419.11,2055.94,19.09,15.98,0,305.04
16,49,2074.62,2007.19,16.97,13.17,0,223.45
25,49,2482.69,1154.59,15.45,16.68,0,257.64
29,49,2113.94,810.43,23.44,27.56,0,646.01
1,50,1962.25,1724.68,19.21,16.7,0,320.94
2,50,3054.49,1668.09,15.34,18.51,0,283.85
3,50,3544.45,606.14,19.61,14.25,0,279.46
5,50,3328.79,1303.01,13.28,15.38,0,204.28
10,50,1419.43,2056.23,18.96,15.89,0,301.2
16,50,2074.67,2007.13,17.11,13.26,0,226.97
25,50,2484.87,1155.85,15.45,16.88,0,260.82
29,50,2114.72,808.33,22.93,26.66,0,611.25
4,50,2407.95,1785.0,20.47,23.86,0,488.51
1,51,1965.52,1725.29,20.47,17.87,0,365.93
2,51,3054.22,1669.91,15.7,19.07,0,299.47
3,51,3547.75,606.57,19.31,14.01,0,270.55
5,51,3331.03,1305.44,12.97,14.79,0,191.95
10,51,1419.71,2057.11,19.1,16.03,0,306.23
16,51,2074.62,2007.43,17.19,13.35,0,229.42
25,51,2487.06,1156.86,14.41,15.77,0,227.32
29,51,2115.13,806.11,23.46,27.25,0,639.41
1,52,1968.8,1725.92,21.83,19.15,0,417.94
2,52,3053.99,1671.21,15.45,18.89,0,291.83
3,52,3550.59,606.51,19.79,14.26,0,282.16
5,52,3332.74,1308.12,13.26,14.62,0,193.83
10,52,1419.78,2057.97,19.29,16.25,0,313.48
16,52,2074.53,2007.71,16.81,13.06,0,219.58
25,52,2489.51,1158.73,13.57,14.84,0,201.38
29,52,2114.51,803.66,24.06,27.94,0,672.24
4,52,2412.51,1780.01,22.09,26.29,0,580.79
1,53,1971.07,1729.12,21.49,19.06,0,409.43
2,53,3053.68,1672.83,15.2,18.66,0,283.58
3,53,3554.45,606.48,19.76,14.26,0,281.9
5,53,3337.47,1311.01,13.86,14.8,0,205.08
10,53,1420.29,2058.58,18.91,15.98,0,302.19
16,53,2074.95,2008.52,16.75,12.94,0,216.66
25,53,2491.69,1160.48,13.34,14.32,0,190.92
29,53,2114.76,801.57,23.83,27.56,0,656.84
4,53,2414.69,1779.17,21.42,26.04,0,557.9
1,54,1973.49,1730.42,21.19,18.92,0,401.05
2,54,3054.02,1675.46,15.29,18.97,0,290.07
