frame_idx,time_s,balisee_id,x_center,y_center,width,height,bbox_area_px,mask_area_sam_px
4250,141.80848,Balisee_2,1077.23,1687.11,15.24,19.34,294.76,319
4251,141.84184,Balisee_3,2755.36,1186.26,25.65,19.48,499.5,473
4251,141.84184,Balisee_4,1500.38,1719.68,22.61,23.09,522.05,545
4251,141.84184,Balisee_2,1077.33,1686.79,15.58,19.48,303.36,328
4251,141.84184,Balisee_5,1165.72,968.61,19.69,18.71,368.43,424
4252,141.87521,Balisee_3,2754.93,1186.16,25.43,19.61,498.73,468
4252,141.87521,Balisee_4,1500.56,1719.52,22.28,22.97,511.83,536
4252,141.87521,Balisee_5,1165.72,968.41,19.75,18.78,371.06,421
4252,141.87521,Balisee_2,1077.4,1686.28,15.9,19.63,312.01,331
4253,141.90858,Balisee_3,2754.76,1185.98,25.23,19.56,493.44,469
4253,141.90858,Balisee_4,1500.84,1719.44,22.22,23.06,512.48,537
4253,141.90858,Balisee_2,1077.42,1686.04,16.17,19.92,322.02,339
4253,141.90858,Balisee_5,1165.68,968.25,19.6,19.05,373.24,436
4254,141.94194,Balisee_3,2754.73,1186.1,25.27,19.76,499.17,472
4254,141.94194,Balisee_4,1501.0,1719.42,22.28,23.23,517.68,525
4254,141.94194,Balisee_2,1077.42,1685.95,16.27,19.89,323.77,344
4254,141.94194,Balisee_5,1165.59,968.36,19.56,18.84,368.5,433
4255,141.97531,Balisee_3,2754.53,1186.16,25.22,20.04,505.58,472
4255,141.97531,Balisee_4,1501.58,1719.28,22.37,23.03,515.19,535
4255,141.97531,Balisee_2,1077.49,1685.68,16.2,19.97,323.45,345
4255,141.97531,Balisee_5,1165.37,968.18,19.38,18.45,357.53,418
4256,142.00868,Balisee_3,2754.51,1186.22,25.27,20.07,507.2,483
4256,142.00868,Balisee_4,1502.02,1719.06,22.56,22.6,509.93,542
4256,142.00868,Balisee_2,1077.63,1685.39,16.24,20.11,326.65,343
4256,142.00868,Balisee_5,1164.99,968.27,19.24,18.77,361.15,417
4257,142.04204,Balisee_3,2754.37,1186.28,25.48,19.93,507.86,484
4257,142.04204,Balisee_4,1502.51,1718.95,22.28,22.61,503.76,540
4257,142.04204,Balisee_2,1077.85,1684.84,16.14,19.97,322.41,337
4257,142.04204,Balisee_5,1164.9,968.28,19.29,18.44,355.77,418
4258,142.07541,Balisee_3,2754.01,1186.3,26.01,19.69,512.25,496
4258,142.07541,Balisee_4,1503.07,1719.04,22.21,22.17,492.45,534
4258,142.07541,Balisee_2,1078.02,1684.47,15.86,19.9,315.66,350
4258,142.07541,Balisee_5,1164.58,968.44,19.63,18.38,360.67,428
4259,142.10878,Balisee_3,2753.81,1186.39,26.41,19.62,518.2,491
4259,142.10878,Balisee_4,1503.55,1719.03,22.49,21.56,485.0,523
4259,142.10878,Balisee_2,1077.99,1684.12,15.55,19.55,304.03,346
4259,142.10878,Balisee_5,1164.71,968.39,20.29,18.36,372.56,446
4260,142.14214,Balisee_3,2753.55,1186.62,26.46,19.37,512.49,493
4260,142.14214,Balisee_4,1504.02,1719.25,22.26,21.62,481.23,487
4260,142.14214,Balisee_2,1078.03,1683.23,15.23,19.49,296.77,324
4260,142.14214,Balisee_5,1164.66,968.54,20.39,18.72,381.62,451
4261,142.17551,Balisee_3,2753.27,1186.85,26.62,19.34,514.8,499
4261,142.17551,Balisee_4,1504.29,1719.35,22.19,22.04,489.24,476
4261,142.17551,Balisee_2,1078.34,1683.09,15.12,19.28,291.62,327
4261,142.17551,Balisee_5,1164.86,968.38,20.8,19.0,395.2,483
4262,142.20888,Balisee_3,2753.11,1187.12,26.6,19.27,512.57,497
4262,142.20888,Balisee_4,1504.79,1719.46,21.85,21.98,480.12,463
4262,142.20888,Balisee_5,1164.93,968.52,21.07,19.55,411.79,504
4262,142.20888,Balisee_2,1078.56,1682.76,14.94,18.92,282.61,334
4263,142.24224,Balisee_3,2752.94,1187.18,26.33,18.92,498.22,489
4263,142.24224,Balisee_4,1505.2,1719.32,21.68,21.96,476.11,454
4263,142.24224,Balisee_2,1078.76,1682.54,14.8,19.09,282.46,340
4263,142.24224,Balisee_5,1165.04,968.39,21.25,19.67,418.05,505
4264,142.27561,Balisee_3,2752.94,1187.24,26.31,18.87,496.47,484
4264,142.27561,Balisee_4,1505.81,1719.17,21.49,22.01,473.11,461
4264,142.27561,Balisee_2,1079.1,1682.38,14.85,19.22,285.43,353
