frame_idx,time_s,jelly_id,x_center,y_center,width,height,bbox_area_px
294,9.8098,5,1142.77,2118.74,15.81,15.38,243.27
294,9.8098,3,2130.32,1673.81,10.0,14.39,143.84
300,10.01,2,2766.59,432.32,17.79,15.53,276.3
300,10.01,4,2767.0,1398.02,22.34,17.28,385.99
300,10.01,38,1757.82,2140.34,20.71,15.59,322.93
300,10.01,21,1690.46,868.2,22.48,15.98,359.37
300,10.01,1,3091.73,562.19,30.09,27.58,829.89
306,10.2102,2,2767.45,433.57,18.31,15.85,290.33
306,10.2102,4,2770.12,1398.48,22.28,17.34,386.17
306,10.2102,38,1759.07,2140.21,20.51,15.72,322.52
306,10.2102,21,1694.24,868.74,21.37,15.1,322.63
306,10.2102,1,3092.02,564.19,30.26,27.9,844.28
306,10.2102,5,1148.16,2123.05,16.06,15.57,250.01
312,10.4104,2,2767.91,435.04,18.35,15.67,287.47
312,10.4104,4,2773.13,1398.69,22.16,17.44,386.47
312,10.4104,38,1759.75,2139.69,21.31,16.64,354.59
312,10.4104,21,1697.84,869.86,20.42,14.23,290.55
312,10.4104,1,3091.91,566.46,30.97,29.08,900.42
312,10.4104,5,1149.83,2124.79,15.91,15.07,239.76
318,10.6106,2,2767.65,436.97,18.88,15.95,301.17
318,10.6106,4,2776.01,1398.59,22.08,17.59,388.5
318,10.6106,38,1760.44,2139.23,21.89,17.51,383.29
318,10.6106,21,1701.12,870.51,20.44,14.12,288.52
318,10.6106,1,3090.62,569.15,30.81,29.23,900.63
318,10.6106,44,3262.37,1610.27,25.93,19.66,509.95
318,10.6106,3,2135.31,1670.23,12.38,18.48,228.73
324,10.8108,2,2767.75,438.65,18.83,15.7,295.58
324,10.8108,4,2778.82,1398.39,22.59,18.22,411.55
324,10.8108,38,1761.23,2138.96,21.96,18.03,396.04
324,10.8108,21,1704.12,870.88,20.7,14.22,294.28
324,10.8108,1,3090.17,571.33,30.65,29.36,899.92
324,10.8108,44,3265.1,1611.44,25.76,19.52,502.89
324,10.8108,5,1155.47,2126.67,16.28,15.35,249.94
330,11.011,2,2767.51,439.71,19.41,16.06,311.7
330,11.011,4,2781.18,1397.75,22.19,18.08,401.26
330,11.011,38,1761.71,2138.66,22.11,18.63,411.83
330,11.011,21,1706.73,871.14,20.96,14.33,300.38
330,11.011,1,3089.17,573.26,29.85,28.87,861.69
330,11.011,44,3268.06,1611.7,25.42,19.2,488.06
330,11.011,5,1158.2,2127.65,16.02,15.02,240.61
336,11.2112,2,2767.08,441.03,19.53,16.08,313.99
336,11.2112,4,2783.28,1396.97,21.79,17.73,386.26
336,11.2112,38,1762.36,2138.62,21.62,18.7,404.31
336,11.2112,21,1710.25,871.54,21.9,14.96,327.5
336,11.2112,1,3088.71,575.05,29.96,29.34,878.96
336,11.2112,44,3270.52,1612.53,25.93,19.56,507.25
336,11.2112,5,1161.07,2129.17,16.37,15.34,251.14
342,11.4114,2,2766.4,442.79,19.59,16.01,313.79
342,11.4114,4,2786.19,1396.72,21.65,17.8,385.34
342,11.4114,38,1762.9,2138.74,20.89,18.47,385.87
342,11.4114,1,3087.36,577.77,29.09,28.58,831.33
342,11.4114,44,3272.51,1612.73,26.34,19.87,523.33
342,11.4114,5,1163.31,2131.14,16.43,15.45,253.77
348,11.6116,2,2765.63,444.71,19.94,16.18,322.61
348,11.6116,4,2787.93,1396.57,22.11,18.45,407.78
348,11.6116,38,1763.11,2138.59,20.79,18.79,390.58
348,11.6116,1,3086.09,580.41,28.55,28.33,809.0
348,11.6116,44,3273.96,1612.85,25.82,19.42,501.42
348,11.6116,5,1165.54,2132.55,17.38,16.54,287.38
354,11.8118,2,2764.95,446.39,19.73,15.91,313.81
354,11.8118,4,2790.21,1396.49,22.01,18.62,409.85
354,11.8118,1,3085.07,582.95,28.69,28.85,827.71
354,11.8118,44,3275.73,1613.46,26.66,20.05,534.64
354,11.8118,21,1720.2,873.79,21.86,14.9,325.78
360,12.012,2,2764.41,448.37,19.78,15.9,314.54
360,12.012,4,2792.81,1396.66,21.93,18.8,412.39
360,12.012,1,3084.05,585.6,28.23,28.48,804.03
360,12.012,44,3277.74,1614.13,26.29,19.74,518.94
360,12.012,21,1723.69,874.19,22.31,15.19,338.95
360,12.012,38,1763.96,2134.15,19.63,18.16,356.46
366,12.2122,2,2764.06,450.34,19.45,15.56,302.73
366,12.2122,4,2795.19,1395.92,21.85,18.92,413.59
366,12.2122,44,3280.3,1615.12,26.24,19.67,516.05
366,12.2122,21,1726.94,874.74,21.52,14.58,313.79
366,12.2122,38,1764.86,2133.05,18.83,17.76,334.35
372,12.4124,2,2762.95,452.09,20.29,16.2,328.68
372,12.4124,4,2797.01,1395.12,21.29,18.73,398.85
372,12.4124,44,3282.22,1615.84,26.55,19.88,527.92
372,12.4124,21,1730.15,875.22,21.37,14.5,309.89
372,12.4124,38,1765.62,2132.19,17.5,16.71,292.38
372,12.4124,1,3082.23,590.07,27.46,27.99,768.52
378,12.6126,2,2762.25,453.27,21.66,17.42,377.28
378,12.6126,4,2799.1,1393.66,21.06,18.75,394.72
378,12.6126,44,3284.16,1615.93,26.56,19.92,529.08
378,12.6126,21,1733.31,875.84,21.11,14.26,301.09
378,12.6126,38,1766.11,2131.39,15.96,15.28,243.82
378,12.6126,1,3080.94,592.29,28.01,28.85,808.07
384,12.8128,2,2761.88,453.86,22.41,18.23,408.37
384,12.8128,4,2800.63,1392.42,20.51,18.52,379.75
